Ax,Ay,Az,Gx,Gy,Gz,Label
0.396,-0.056,0.825,-36.412,250.130,61.962,Pitch
0.168,-0.114,0.894,-21.137,250.130,66.046,Pitch
-0.042,-0.129,0.972,-7.153,250.130,61.115,Pitch
-0.224,-0.098,1.066,-7.099,203.947,55.878,Pitch
-0.323,-0.124,1.060,-0.687,102.053,41.656,Pitch
-0.330,-0.135,1.022,7.397,30.183,19.206,Pitch
-0.333,-0.107,1.037,16.626,-27.130,4.168,Pitch
-0.246,-0.087,1.125,3.771,-62.252,-9.084,Pitch
-0.307,-0.142,1.159,7.916,-147.687,-28.313,Pitch
-0.164,-0.113,1.033,30.435,-250.137,-47.939,Pitch
0.081,-0.095,0.887,33.794,-250.137,-43.313,Pitch
0.283,-0.028,0.967,28.092,-250.137,-28.405,Pitch
0.401,-0.008,0.923,17.641,-220.359,-12.397,Pitch
0.440,-0.008,0.805,17.359,-163.840,-4.504,Pitch
0.494,-0.001,0.814,18.130,-130.496,-4.084,Pitch
0.569,0.025,0.836,16.023,-96.031,-5.969,Pitch
0.588,0.023,0.816,5.527,-29.740,-11.099,Pitch
0.531,-0.004,0.757,-2.924,78.702,2.519,Pitch
0.503,0.013,0.711,-27.954,210.802,19.786,Pitch
0.482,-0.093,0.893,-31.824,250.130,32.893,Pitch
0.298,-0.006,0.935,-30.481,250.130,35.969,Pitch
0.091,-0.094,0.819,-38.313,250.130,34.908,Pitch
-0.115,-0.088,1.004,-19.092,250.130,34.214,Pitch
-0.313,-0.107,1.063,-3.115,191.229,32.023,Pitch
-0.352,-0.116,1.000,9.420,92.115,24.908,Pitch
-0.398,-0.102,1.045,18.351,10.191,15.420,Pitch
-0.438,-0.116,1.073,36.672,-87.977,0.534,Pitch
-0.510,-0.052,1.207,31.435,-208.878,-23.939,Pitch
-0.283,0.007,1.037,7.695,-250.137,-52.191,Pitch
-0.004,-0.070,0.866,7.931,-250.137,-46.458,Pitch
0.226,-0.070,0.924,20.603,-250.137,-30.023,Pitch
0.381,-0.045,0.901,19.099,-250.137,-17.855,Pitch
0.471,-0.023,0.795,36.947,-249.405,-14.672,Pitch
0.570,0.009,0.783,31.466,-175.634,-4.733,Pitch
0.626,0.012,0.781,23.977,-98.206,10.153,Pitch
0.710,0.071,0.756,15.511,3.740,17.763,Pitch
0.582,0.043,0.774,1.198,136.847,26.359,Pitch
0.547,0.045,0.743,-21.550,221.870,27.626,Pitch
0.475,0.037,0.801,-38.450,250.130,25.725,Pitch
0.350,-0.007,0.920,-39.008,250.130,16.641,Pitch
0.104,-0.032,0.935,-34.374,250.130,-1.053,Pitch
-0.099,-0.062,0.957,-12.282,250.130,5.725,Pitch
-0.212,-0.089,1.096,-1.000,172.580,11.405,Pitch
-0.279,-0.110,1.012,4.756,95.779,10.977,Pitch
-0.338,-0.089,1.038,6.374,31.710,8.382,Pitch
-0.362,-0.070,1.074,11.679,-44.122,0.794,Pitch
-0.351,-0.080,1.123,2.275,-131.901,-12.130,Pitch
-0.245,-0.086,1.095,3.649,-189.313,-27.954,Pitch
-0.093,-0.046,0.925,20.863,-250.137,-39.969,Pitch
0.149,0.027,0.897,9.656,-250.137,-42.870,Pitch
0.285,-0.016,0.919,-0.695,-250.137,-34.557,Pitch
0.423,-0.051,0.942,11.542,-205.718,-16.985,Pitch
0.479,-0.025,0.872,18.405,-150.542,-7.687,Pitch
0.513,0.016,0.834,14.397,-90.153,-4.855,Pitch
0.549,-0.019,0.865,4.794,-33.038,-7.244,Pitch
0.542,-0.020,0.850,3.237,12.618,-6.015,Pitch
0.493,-0.002,0.839,-4.458,53.969,-1.626,Pitch
0.467,-0.025,0.808,-9.084,121.351,12.443,Pitch
0.434,-0.027,0.777,-22.458,232.481,32.527,Pitch
